bin,n,p0,y,p_first,term,implied,qv
0.0,207,0.043412110878613026,0.04830917874396135,0.054941112328214844,0.04534839860659595,0.040756613535128314,0.04757008607779652
1.0,207,0.15193451779600226,0.178743961352657,0.14946424400802016,0.1446947010057128,0.12799751803936635,0.20178702331799886
2.0,385,0.25413702342786626,0.2519480519480519,0.25162872873306635,0.18733481089063708,0.18871065835076334,0.2429919549619412
3.0,323,0.35557640240553984,0.4024767801857585,0.36144605399926366,0.2401725597456812,0.22816086413716805,0.2887650704427639
4.0,1408,0.45859333374119177,0.4872159090909091,0.47009423055539495,0.25091806232391156,0.2475663641225144,0.33553024604535636
5.0,1381,0.5409418125359129,0.5068790731354091,0.522982784269502,0.25082956277537316,0.24758801380883808,0.33865000013995894
6.0,377,0.6461935379694919,0.636604774535809,0.6511887345859617,0.2303854875635668,0.22771853260080405,0.3020717027982477
7.0,305,0.7446105900911397,0.6950819672131148,0.7693100309599192,0.21420509063135615,0.18937245633739863,0.2484578577308591
8.0,59,0.8320675212728923,0.8983050847457628,0.861535577700235,0.09281401645231546,0.13897828395625922,0.11283621708881206
9.0,214,0.9525152962448538,0.9579439252336449,0.9464925533633977,0.04036712167606286,0.044764567619145705,0.04637162431403324
